,file,pre_stoi,post_stoi,delta_stoi,pre_pesq,post_pesq,delta_pesq
0,119-121722-0012.wav,0.07756132820966732,0.15654965342332422,0.0789883252136569,1.8927017450332642,1.1201636791229248,-0.7725380659103394
1,159-135897-0024.wav,0.0315332715994517,0.04113715911481463,0.009603887515362931,1.1368952989578247,1.044040560722351,-0.09285473823547363
2,38-121024-0083.wav,0.06597320004459434,0.16436464917246754,0.0983914491278732,1.4833225011825562,1.0482301712036133,-0.43509232997894287
3,14-208-0038.wav,0.03212148194136586,0.23091597135091899,0.19879448940955313,1.156136155128479,1.065063714981079,-0.0910724401473999
4,154-293987-0032.wav,0.08613672922575971,0.24593221542804844,0.15979548620228873,1.5550613403320312,1.042765736579895,-0.5122956037521362
5,79-121541-0000.wav,0.07954516181460468,0.07900384107145958,-0.0005413207431450989,1.2674720287322998,1.0338976383209229,-0.23357439041137695
6,101-126859-0006.wav,0.08118226330440807,0.09281709483715958,0.011634831532751508,1.6164159774780273,1.0769810676574707,-0.5394349098205566
7,64-76973-0002.wav,0.13530274946404253,0.24666212044685634,0.11135937098281382,2.0563201904296875,1.049172043800354,-1.0071481466293335
8,101-126860-0025.wav,0.05754356675119508,0.05436033760374211,-0.003183229147452976,1.1219828128814697,1.056813359260559,-0.06516945362091064
9,54-121080-0022.wav,0.05921569729805307,0.09885605294485815,0.03964035564680508,1.1396523714065552,1.0588194131851196,-0.08083295822143555
